cfr_id,category,source_level,active,mandatory,requirement_en,requirement_et,assessment,evidence,gap_and_next_action,proposed_owner,sources,repo_commit,cfr_commit,review_date
11,deployment,expected,True,False,Four-eyes code review before production,"Toodangusse ei lähe kood, mis pole läbinud koodi ülevaatamist (code review) minimaalselt nelja-silma printsiibi põhimõttel.",Unverified,Git history contains pull-request merges; repository protection and human approvals were not verified.,Require independent human review and protected release branches; a merge commit alone does not establish four-eyes review.,Engineering lead,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
12,deployment,required,True,True,Failing tests block production release,"Toodangu-keskkonda ei lähe kood, mille testid ebaõnnestuvad.",Partially met,"CI passes typecheck, 591 tests and build; deploy.yml runs separately on push and depends only on bootstrap.","Make production deployment depend on successful checks for the same commit/artifact. Current Fly workflow targets test, so no failed production deployment is alleged.",Platform / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
13,deployment,expected,True,False,Automated deployment,Keskkondadesse tarkvara paigaldamine on automatiseeritud.,Partially met,"Dockerfile, fly.toml and deploy.yml automate the test environment; government topology is described in docs/juurutamine.md.","Deliver reviewed, reproducible manifests/pipeline for the actual government environment and its rollback procedure.",Platform,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
14,deployment,recommended,True,False,Blue-green deployment without interruption,"Rakenduse tarne toodangu-keskkonda toimub sinine-roheline põhimõttel, ehk rakendusest sõltuva teenuse töö ei katke versiooniuuenduse puhul.",Not met,docs/juurutamine.md specifies one instance and Recreate; SQLite file has a single application owner.,"Agree planned outage as an exception, or redesign persistence/jobs and prove safe blue-green operation if zero downtime is required.",Architecture / Platform,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
15,deployment,recommended,True,False,Semantic application and API versions,Rakendus on versioneeritud kasutades semantilise versioneerimise põhimõtet.,Partially met,package.json is 0.1.0; specification is v2.7; protocol schema and allocation algorithm have separate versions.,"Define release tags, changelog and compatibility policy. Distinguish app, specification, schema and algorithm versions.",Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
16,deployment,expected,True,False,Automatic production monitoring and alerts,Toodangu keskkondades on rakendused on automaatselt monitooritud.,Partially met,/api/health and Fly health checks; operator documentation names log/health/disk alerts.,"Provide configured alerts with recipients and exercises, including overdue round closures, aged queued/failed mail, backup age and disk pressure.",Platform,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
17,architecture,draft,False,False,Correlation identifiers in component logs,Rakenduse tehnilised komponendid logivad korrelatsiooni ID'd või genereerivad selle ise. Korrelatsiooni ID'd saadetakse iga edasise päringuga kaasa.,Not met,No request correlation-ID propagation or consistent structured logging found in src/server or app routes.,Draft only: introduce request/event identifiers when central logging is implemented.,Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
18,architecture,kohustus,True,True,Authenticate through TARA unless explicitly justified,Kasutajate autentimine käib läbi RIA TARA.,Not met,src/server/auth/codes.ts implements email OTP; docs/juurutamine.md §9 treats TARA as future work.,"Use TARA/GovSSO or obtain a documented, approved exception. Map verified identities to independently maintained company representation. Source level is literally kohustus.",Architecture / Security,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md | https://e-gov.github.io/TARA-Doku/,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
19,architecture,expected,True,False,Components enforce their own authorization,Rakenduse tehnilised komponendid kaitsevad iseennast ja valideerivad nende poole pöördunud kasutaja või tehnilise teenuse õiguseid.,Partially met,Central buyerWrite/adminWrite/partnerWrite guards; browser-mutations-confirmed.json reproduces cross-partner markNotificationReadAction mutation.,Constrain every object mutation to the authenticated subject and recipient; test direct Server Action requests across roles and organisations.,Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
20,architecture,expected,True,False,Automatically generated API documentation,Tehniliste komponentide API'del eksisteerib automaatselt genereeritud dokumentatsioon.,Not met,Next Server Actions and file/health routes; no generated OpenAPI or equivalent contract found.,Document reusable service contracts and generate API documentation where integrations are exposed. Agree scope for framework-internal actions.,Engineering / Architecture,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
21,architecture,expected,True,False,Domain-driven design and autonomous microservices,Rakendused on disainitud ja arendatud domeenist juhinduva disaini (domain driven design) ja mikroteenuste arhitektuuri põhimõtteid jälgides.,Partially met,Pure domain layer and clear domain concepts; deployed as one Next process and SQLite database.,Domain design is present; autonomous microservices are absent. Seek a justified modular-monolith exception for this small workload before considering service extraction.,Architecture,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
22,architecture,expected,True,False,Inter-system data exchange over X-tee,Infosüsteemide vaheline andmevahetus toimub üle X-tee.,Not applicable,No runtime registry or other business-system integration; only SMTP and manual workbook transfer currently.,"Reassess if RHR, registries, document management or other government-system integration enters scope. No reason to add an unused X-tee connection.",Architecture,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
23,architecture,expected,True,False,Separate UI and reusable service layer via API,Kasutajaliides ja teenuse funktsionaalsus on loogiliselt eristatud kihid ja suhtlevad üle API. Äriloogilised tehnilised komponendid on kasutatavad erinevate kasutajaliideste poolt.,Partially met,"src/domain, src/server and src/app separate responsibilities; Next Server Actions bind interfaces to the web application.","Retain domain separation; expose stable service APIs where a second UI or external consumer is required, or agree the limited reuse scope.",Architecture / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
24,architecture,expected,True,False,Reusable REST API,Tehnilised komponendid avaldavad taaskasutuseks REST API,Not met,"/api/health exists; procurement operations use Next Server Actions, not a versioned reusable REST API.","Define required integration/export endpoints, authorization and semantics; add REST contracts or obtain a scoped exception.",Architecture / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
25,architecture,recommended,True,False,Client UI state and stateless services,Kasutajaliidese olekut (state) hoitakse kliendi liidese poolel ja teenused on ise olekuta.,Partially met,"Client components hold form state; sessions, drafts and business records persist in SQLite; in-process jobs and mail outbox remain.",Document which state is durable domain data versus UI state; remove instance-local dispatch reliance before adding replicas.,Architecture,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
26,architecture,expected,True,False,Cloud suitability including replicas and scaling,Rakendus on pilvekõlbulik.,Partially met,"Container, environment configuration and persistent volume exist. Deployment explicitly requires exactly one instance, no scale-to-zero and Recreate.",Does not satisfy the stated multi-instance/autoscaling/two-site requirements. Agree availability exception or move to shared managed persistence plus safe distributed job/queue coordination.,Architecture / Platform,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
27,architecture,expected,True,False,Distributed components do not share database or filesystem,"Rakenduse tehnilised hajuskomponendid ei jaga sama andmebaasi, mälu ega failisüsteemi.",Not applicable,One deployable application owns its database; there are no separately deployed business services sharing storage.,Keep ownership boundaries explicit if services are later extracted; a monolith having one database is not itself a violation of this conditional rule.,Architecture,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
28,architecture,required,True,True,Configuration and secrets injected through environment,Rakenduse konfiguratsioon (sh. paroolid) ei ole osa tarkvara koodist vaid paigaldatakse külge rakenduse tarnel keskkonda läbi keskkonnamuutujate.,Met,src/lib/env.ts validates environment; Docker and deployment documentation use externally supplied secrets.,Keep live secrets in the receiving platform secret store; harden production startup validation for unsafe or missing settings.,Platform / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
29,architecture,expected,True,False,No business logic in database triggers/procedures,"Andmebaas ei tohi sisaldada äriloogikat (triggerid, protseduurid jms).",Met,Allocation and state transitions are TypeScript; drizzle triggers enforce append-only records and database integrity.,Integrity constraints are not allocation business logic. Ask the receiving architect to confirm this interpretation if any trigger is disallowed literally.,Architecture,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
30,architecture,required,True,True,Reuse existing national or OS identity system,Rakendus ei tohi luua uut identiteedisüsteemi. Tuleb tugineda olemasolevatele riiklikele (ID-kaart) või põhiliste op-süsteemide süsteemidele (Kerberos jms).,Not met,"Custom users, representatives, login_codes and sessions, with mailbox possession as authentication.",Integrate the accepted identity provider; application-specific roles/representation may remain in the application.,Security / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
31,architecture,deprecated,False,False,RIHA X technical XML manifest,Tehnilised komponendid peavad saatma tehnilise XML manifesti RIHA X'i,Not applicable,Source explicitly marks this requirement deprecated.,Excluded from active assessment; do not implement the deprecated manifest requirement.,Service owner,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
32,quality,recommended,True,False,Explicit documented user stories / functional scope,Süsteemi funktsionaalne skoop on defineeritud ja dokumenteeritud selgesõnaliste kasutuslugudega. Nimetatud kasutuslood peavad olema toote ärilises dokumentatsioonis.,Met,docs/kaskaadi-ariloogika.md has 96 identified rules and worked examples; user guide and role/lifecycle descriptions.,Strong functional scope. Reconcile stale order-issuance wording with L-25 and resolve listed open business decisions.,Product owner,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
33,quality,expected,True,False,Automated user-functionality testing,Kasutajafunktsionaalsus peab olema kaetud automaattestidega.,Partially met,591 tests and auth/e2e/admin/protocol suites pass locally; direct-action probes exposed missed negative paths.,"Run browser acceptance in release CI; add risk-based object authorization, timing and interrupted-mail scenarios. Passing happy paths are not complete coverage.",Engineering / QA,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
